model,alpha,beta,miscal_function,test_plus_train_size,marginal_class_probs,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,test_log-loss_mean,test_log-loss_std,test_ECE_mean,test_ECE_std,test_MCE_mean,test_MCE_std,test_sharpness_mean,test_sharpness_std,test_overconfidence_mean,test_overconfidence_std,test_underconfidence_mean,test_underconfidence_std,test_avg_confidence_mean,test_avg_confidence_std
No_Calibration,2,5.0,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2",4.124641418457031e-05,1.497425589468808e-05,0.002576112747192383,0.00023676644206260727,0.44722222222222224,0.0035621081595687775,1.5897866748117906,0.014018441219572388,-0.03559365079365078,0.0030354540342027543,-0.1957142857142857,0.016564311553262955,0.11260132446114945,0.0014034449997475278,-0.3928512400750782,0.0016696711576488017,-0.5240673447427728,0.0020453457489199435,0.4300024979008117,0.0012937857650897099
No_Calibration,2,5.0,identity,10000,"0.2, 0.2, 0.2, 0.2, 0.2",0.0002576351165771484,7.605251218587418e-05,0.010407352447509765,0.0005869140067149978,0.4313222222222223,0.0014310394123593112,1.6534209532258324,0.003361822842098896,-0.011415449735449742,0.0013559586152561965,-0.17309523809523814,0.046291685333495626,0.10309526293032308,0.000441010946002834,-0.401880463982224,0.0004654664371510717,-0.5343994698038701,0.0005570087219551039,0.42936498674868717,0.0003097319915039667
No_Calibration,2,5.0,root,1000,"0.2, 0.2, 0.2, 0.2, 0.2",3.4880638122558596e-05,2.8188789195703417e-06,0.0024918317794799805,0.0001285714788162928,0.6101111111111112,0.0062294931063562485,1.4223260279300918,0.012963175559758022,-0.18247354497354498,0.006426103633575049,-0.21976962491331728,0.015225969121424815,0.10167735051630844,0.0016931111186895482,-0.3864034544131892,0.0024043313164208544,-0.550453315150553,0.0022224022842823894,0.4249287445614335,0.001557212099335979
No_Calibration,2,5.0,root,10000,"0.2, 0.2, 0.2, 0.2, 0.2",0.0002414226531982422,4.6899115551532446e-05,0.010069656372070312,0.00024429522216573444,0.6041444444444445,0.001980044477199245,1.3807755727905078,0.004164197383232259,-0.17308116402116402,0.0020486698271664906,-0.21574063435303575,0.004083368186467578,0.10266564511643465,0.0004907685265775093,-0.38780476130410074,0.00044227266992221255,-0.5455853866381773,0.0005331417390359695,0.4280457935630298,0.0002826107051621314
No_Calibration,2,5.0,power,1000,"0.2, 0.2, 0.2, 0.2, 0.2",3.702640533447266e-05,2.5157899143965742e-06,0.0025363445281982424,0.00011989569669877761,0.28255555555555556,0.006351608892880667,1.858144827682845,0.014917330870265973,-0.1463206349206349,0.005332996336039906,-0.8495833333333336,0.2046068938454184,0.10148867734121203,0.0015365554314017546,-0.4098286867831207,0.002058144491020094,-0.5338192631015172,0.002110747724953568,0.42574922058326176,0.0015776564124540926
No_Calibration,2,5.0,power,10000,"0.2, 0.2, 0.2, 0.2, 0.2",0.00022459030151367188,5.889491219645566e-05,0.009766101837158203,9.476144639901715e-05,0.28531111111111107,0.0013474560698153667,1.8824300643598015,0.004791276520103314,-0.14733592592592595,0.0011740968039025777,-0.2146387162362334,0.0128444362594333,0.10380036432122379,0.0003978613915944087,-0.41275321166502915,0.00034601244694489183,-0.528053777897089,0.0013775914967215442,0.4296420334021649,0.0004173907746530228
No_Calibration,3,0.75,identity,1000,"0.2, 0.2, 0.2, 0.2, 0.2",3.361701965332031e-05,2.2895908818066806e-06,0.002439451217651367,9.240419819360922e-05,0.8542222222222222,0.004312867149039888,0.596706315519667,0.015290250605951825,-0.034065608465608445,0.003405667211852508,-0.6371428571428572,0.16263142252294527,0.12895525471514996,0.002262733554080585,-0.7123003060840567,0.005760653412227512,-0.13044232520718943,0.0010849993066364152,0.8466346847825781,0.001013661375318915
No_Calibration,3,0.75,identity,10000,"0.2, 0.2, 0.2, 0.2, 0.2",0.0002105236053466797,8.681841590897146e-06,0.009775471687316895,0.0001986162092140286,0.8393666666666666,0.0011724430779014464,0.6597249220270462,0.0038819759123151078,-0.01188126984126981,0.001060512765968694,-0.10413574864441913,0.04130230861529058,0.13943267234452814,0.0008394432387680197,-0.7038881798625265,0.0013606238794007335,-0.13543792165677654,0.0005075354307195902,0.8387529068981445,0.0004918719803254247
No_Calibration,3,0.75,root,1000,"0.2, 0.2, 0.2, 0.2, 0.2",3.321170806884766e-05,2.1852868868527925e-06,0.0024152755737304687,3.340871149135237e-05,0.9039999999999999,0.001829494671885715,0.4750445168864318,0.0066460157316535024,-0.07148835978835977,0.0021876884025766397,-0.7311904761904762,0.11218556461073534,0.13522159660231575,0.0021074422309721374,-0.7137152754710552,0.005318696213274834,-0.14673455833945792,0.0013106377582584388,0.83986597372786,0.001063880030375572
No_Calibration,3,0.75,root,10000,"0.2, 0.2, 0.2, 0.2, 0.2",0.00021235942840576173,1.2901581061592675e-05,0.009707355499267578,7.560180921492629e-05,0.9051666666666668,0.0008302411767207199,0.4583209776065174,0.0033659174198818888,-0.07140042328042326,0.0010166980776531228,-0.24078440414631075,0.0080636360353575,0.13460338783353473,0.000636862529715374,-0.691734249798358,0.0017386891204989176,-0.14410018359150867,0.0006387895333919256,0.8403313533950934,0.0006363502675194479
